Join Date,Name,Completed
"May 27, 2020, 10:37:28 PM",May 5K,true
"May 27, 2020, 10:37:54 PM",June Cycling Challenge,false
"May 27, 2020, 10:38:28 PM",June 5K,true
"May 27, 2020, 10:38:36 PM",Sufferfest Beer Challenge,false
"May 27, 2020, 10:38:54 PM",Nuun Podium Series Challenge,true
"May 27, 2020, 11:57:28 PM",Le Col Fit for 300 Challenge,true
"Jun 3, 2020, 1:19:30 PM",FOCUS Beat Your Screen Time Challenge,false
"Jun 5, 2020, 11:10:58 PM",ROKA Breakthrough 30,true
"Jun 13, 2020, 4:34:42 PM",June - July Walk Challenge,false
"Jun 26, 2020, 5:40:14 PM",July 5K,true
"Jul 8, 2020, 1:29:18 AM",PowerDot Grand Tour,true
"Jul 10, 2020, 9:24:01 PM",Amp Human Love Your Trail Challenge,true
"Jul 12, 2020, 7:34:26 PM",Le Col Faster Further 400 Challenge,true
"Jul 12, 2020, 7:36:10 PM","You, But Faster, with Saucony",true
"Jul 12, 2020, 7:36:36 PM",ROKA Tour de DIY,true
"Jul 12, 2020, 7:36:38 PM",Trek Century Challenge,true
"Jul 28, 2020, 5:42:44 PM",Arcâ€™teryx Familiar Ground,false
